Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,10,4,Some Random Commen with Id 0
1,0,3,174,5,Some Random Commen with Id 1
2,0,3,132,1,Some Random Commen with Id 2
3,0,3,162,3,Some Random Commen with Id 3
4,0,3,108,4,Some Random Commen with Id 4
5,1,9,91,8,Some Random Commen with Id 5
6,1,9,161,8,Some Random Commen with Id 6
7,1,9,36,2,Some Random Commen with Id 7
8,2,9,34,9,Some Random Commen with Id 8
9,2,9,161,6,Some Random Commen with Id 9
10,2,9,29,9,Some Random Commen with Id 10
11,2,9,17,0,Some Random Commen with Id 11
12,2,9,68,2,Some Random Commen with Id 12
13,2,9,57,2,Some Random Commen with Id 13
14,2,9,142,2,Some Random Commen with Id 14
15,2,9,110,3,Some Random Commen with Id 15
16,3,4,33,4,Some Random Commen with Id 16
17,4,1,193,1,Some Random Commen with Id 17
18,4,1,69,0,Some Random Commen with Id 18
19,4,1,23,5,Some Random Commen with Id 19
20,5,6,104,3,Some Random Commen with Id 20
21,5,6,121,4,Some Random Commen with Id 21
22,5,6,152,7,Some Random Commen with Id 22
23,5,6,151,9,Some Random Commen with Id 23
24,5,6,160,0,Some Random Commen with Id 24
25,5,6,150,4,Some Random Commen with Id 25
26,6,8,11,7,Some Random Commen with Id 26
27,6,8,164,8,Some Random Commen with Id 27
28,6,8,89,0,Some Random Commen with Id 28
29,6,8,48,7,Some Random Commen with Id 29
30,7,2,188,2,Some Random Commen with Id 30
31,9,3,104,2,Some Random Commen with Id 31
32,9,3,78,4,Some Random Commen with Id 32
33,9,3,15,3,Some Random Commen with Id 33
34,9,3,39,1,Some Random Commen with Id 34
35,9,3,174,3,Some Random Commen with Id 35
36,9,3,33,0,Some Random Commen with Id 36
37,9,3,17,9,Some Random Commen with Id 37
38,10,3,78,1,Some Random Commen with Id 38
39,10,3,60,2,Some Random Commen with Id 39
40,10,3,25,3,Some Random Commen with Id 40
41,10,3,81,7,Some Random Commen with Id 41
42,10,3,148,1,Some Random Commen with Id 42
43,10,3,179,1,Some Random Commen with Id 43
44,10,3,188,7,Some Random Commen with Id 44
45,10,3,151,4,Some Random Commen with Id 45
46,10,3,174,9,Some Random Commen with Id 46
47,11,6,144,2,Some Random Commen with Id 47
48,11,6,107,2,Some Random Commen with Id 48
49,11,6,117,1,Some Random Commen with Id 49
50,11,6,199,6,Some Random Commen with Id 50
51,11,6,48,8,Some Random Commen with Id 51
52,11,6,127,6,Some Random Commen with Id 52
53,11,6,130,7,Some Random Commen with Id 53
54,11,6,131,3,Some Random Commen with Id 54
55,11,6,166,4,Some Random Commen with Id 55
56,12,4,145,3,Some Random Commen with Id 56
57,12,4,137,2,Some Random Commen with Id 57
58,12,4,39,0,Some Random Commen with Id 58
59,13,7,16,4,Some Random Commen with Id 59
60,13,7,30,0,Some Random Commen with Id 60
61,13,7,130,0,Some Random Commen with Id 61
62,13,7,153,3,Some Random Commen with Id 62
63,13,7,96,1,Some Random Commen with Id 63
64,13,7,143,6,Some Random Commen with Id 64
65,13,7,136,3,Some Random Commen with Id 65
66,13,7,146,2,Some Random Commen with Id 66
67,13,7,67,8,Some Random Commen with Id 67
68,14,9,61,1,Some Random Commen with Id 68
69,14,9,29,8,Some Random Commen with Id 69
70,15,8,163,7,Some Random Commen with Id 70
71,15,8,197,7,Some Random Commen with Id 71
72,15,8,199,4,Some Random Commen with Id 72
73,15,8,153,9,Some Random Commen with Id 73
74,15,8,14,5,Some Random Commen with Id 74
75,16,7,123,8,Some Random Commen with Id 75
76,16,7,108,9,Some Random Commen with Id 76
77,16,7,140,8,Some Random Commen with Id 77
78,17,9,139,0,Some Random Commen with Id 78
79,17,9,5,3,Some Random Commen with Id 79
80,17,9,117,3,Some Random Commen with Id 80
81,17,9,105,6,Some Random Commen with Id 81
82,17,9,72,3,Some Random Commen with Id 82
83,17,9,9,1,Some Random Commen with Id 83
84,19,6,20,2,Some Random Commen with Id 84
85,19,6,6,1,Some Random Commen with Id 85
86,19,6,71,3,Some Random Commen with Id 86
87,19,6,28,3,Some Random Commen with Id 87
88,20,9,92,3,Some Random Commen with Id 88
89,20,9,75,8,Some Random Commen with Id 89
90,21,3,135,1,Some Random Commen with Id 90
91,21,3,52,2,Some Random Commen with Id 91
92,21,3,192,7,Some Random Commen with Id 92
93,21,3,16,5,Some Random Commen with Id 93
94,21,3,45,3,Some Random Commen with Id 94
95,21,3,4,8,Some Random Commen with Id 95
96,22,2,1,2,Some Random Commen with Id 96
97,22,2,78,5,Some Random Commen with Id 97
98,22,2,73,7,Some Random Commen with Id 98
99,22,2,165,8,Some Random Commen with Id 99
100,22,2,53,7,Some Random Commen with Id 100
101,22,2,152,0,Some Random Commen with Id 101
102,22,2,140,5,Some Random Commen with Id 102
103,22,2,143,9,Some Random Commen with Id 103
104,22,2,21,1,Some Random Commen with Id 104
105,23,4,13,0,Some Random Commen with Id 105
106,23,4,169,2,Some Random Commen with Id 106
107,23,4,28,1,Some Random Commen with Id 107
108,23,4,50,4,Some Random Commen with Id 108
109,23,4,146,5,Some Random Commen with Id 109
110,23,4,102,3,Some Random Commen with Id 110
111,23,4,15,5,Some Random Commen with Id 111
112,23,4,24,1,Some Random Commen with Id 112
113,23,4,120,7,Some Random Commen with Id 113
114,25,4,97,1,Some Random Commen with Id 114
115,25,4,88,8,Some Random Commen with Id 115
116,25,4,181,5,Some Random Commen with Id 116
117,25,4,120,9,Some Random Commen with Id 117
118,25,4,84,5,Some Random Commen with Id 118
119,26,3,85,2,Some Random Commen with Id 119
120,26,3,178,8,Some Random Commen with Id 120
121,26,3,154,5,Some Random Commen with Id 121
122,26,3,86,5,Some Random Commen with Id 122
123,26,3,94,0,Some Random Commen with Id 123
124,26,3,25,4,Some Random Commen with Id 124
125,26,3,54,2,Some Random Commen with Id 125
126,26,3,79,6,Some Random Commen with Id 126
127,27,9,74,1,Some Random Commen with Id 127
128,28,2,21,6,Some Random Commen with Id 128
129,28,2,48,8,Some Random Commen with Id 129
130,28,2,40,9,Some Random Commen with Id 130
131,28,2,69,7,Some Random Commen with Id 131
132,28,2,51,2,Some Random Commen with Id 132
133,28,2,199,3,Some Random Commen with Id 133
134,30,4,133,4,Some Random Commen with Id 134
135,31,8,17,9,Some Random Commen with Id 135
136,31,8,188,7,Some Random Commen with Id 136
137,32,2,32,1,Some Random Commen with Id 137
138,32,2,135,3,Some Random Commen with Id 138
139,32,2,7,1,Some Random Commen with Id 139
140,32,2,78,9,Some Random Commen with Id 140
141,32,2,29,2,Some Random Commen with Id 141
142,33,5,121,3,Some Random Commen with Id 142
143,33,5,151,9,Some Random Commen with Id 143
144,33,5,76,6,Some Random Commen with Id 144
145,33,5,60,4,Some Random Commen with Id 145
146,33,5,170,3,Some Random Commen with Id 146
147,33,5,57,7,Some Random Commen with Id 147
148,33,5,105,3,Some Random Commen with Id 148
149,35,3,185,6,Some Random Commen with Id 149
150,35,3,152,1,Some Random Commen with Id 150
151,35,3,159,6,Some Random Commen with Id 151
152,35,3,4,3,Some Random Commen with Id 152
153,35,3,199,2,Some Random Commen with Id 153
154,35,3,79,3,Some Random Commen with Id 154
155,35,3,103,7,Some Random Commen with Id 155
156,35,3,42,7,Some Random Commen with Id 156
157,37,8,39,4,Some Random Commen with Id 157
158,37,8,11,2,Some Random Commen with Id 158
159,37,8,32,7,Some Random Commen with Id 159
160,38,2,197,7,Some Random Commen with Id 160
